IMEI,Model,GB,Grade,Color,Lock Status
"358461424576041","11","64GB","A GRADE","WHITE","UNLOCKED"
"356799114925594","11","64GB","A GRADE","WHITE","UNLOCKED"
"357838496507668","11","64GB","A GRADE","WHITE","UNLOCKED"
"356807117635704","11","64GB","A GRADE","WHITE","UNLOCKED"
"351594951975033","11","64GB","A GRADE","WHITE","UNLOCKED"
"353976108176516","11","64GB","A GRADE","WHITE","UNLOCKED"
"352899113309826","11","64GB","A GRADE","WHITE","UNLOCKED"
"352896111732009","11","64GB","A GRADE","WHITE","UNLOCKED"
"356544101026703","11","64GB","A GRADE","WHITE","UNLOCKED"
"353982101833731","11","64GB","A GRADE","WHITE","UNLOCKED"
"356555105638392","11","64GB","A GRADE","WHITE","UNLOCKED"
"353986104685857","11","64GB","A GRADE","WHITE","UNLOCKED"
"356547103850996","11","64GB","A GRADE","WHITE","UNLOCKED"
"353980105676528","11","64GB","A GRADE","WHITE","UNLOCKED"
"352790713091742","11","64GB","A GRADE","WHITE","UNLOCKED"
"354628703131409","11","64GB","A GRADE","WHITE","UNLOCKED"
"353971108826723","11","64GB","A GRADE","WHITE","UNLOCKED"
"356552109186460","11","64GB","A GRADE","WHITE","UNLOCKED"
"356800119236647","11","64GB","A GRADE","WHITE","UNLOCKED"
"356542103730629","11","64GB","A GRADE","WHITE","UNLOCKED"
"353981105161933","11","64GB","A GRADE","WHITE","UNLOCKED"
"353981104758200","11","64GB","A GRADE","WHITE","UNLOCKED"
"356065543952595","11","64GB","A GRADE","WHITE","UNLOCKED"
"353970104534984","11","64GB","A GRADE","WHITE","UNLOCKED"
"356552108891920","11","64GB","A GRADE","WHITE","UNLOCKED"
"356554106939008","11","64GB","A GRADE","WHITE","UNLOCKED"
"353976102075433","11","64GB","A GRADE","WHITE","UNLOCKED"
"356798119392560","11","64GB","A GRADE","WHITE","UNLOCKED"
"357883116352350","11","64GB","A GRADE","WHITE","UNLOCKED"
"353969105669096","11","64GB","A GRADE","WHITE","UNLOCKED"
"356543107788472","11","64GB","A GRADE","WHITE","UNLOCKED"
"356551105113734","11","64GB","A GRADE","WHITE","UNLOCKED"
"356861111971078","11","64GB","A GRADE","WHITE","UNLOCKED"
"352898112918751","11","64GB","A GRADE","WHITE","UNLOCKED"
"356542105601752","11","64GB","A GRADE","WHITE","UNLOCKED"
"353982101717843","11","64GB","A GRADE","WHITE","UNLOCKED"
